load_id,shipped_at,destination,depot,sscc,farm,puc,orchard,cultivar_group,cultivar,grade,pack,size_reference,gross_weight,nett_weight
218,2021-07-20 10:23:49 +0200,SRW,SRADDO,560016510702193004,Carden,L0502,410,LEMONS,EUR,MIX,DGCH,MIX,,
218,2021-07-20 10:23:49 +0200,SRW,SRADDO,560016510702193011,Carden,L0502,410,LEMONS,EUR,MIX,DGCH,MIX,,
